25 / 6 = ,4 rem 1,6 rem 2,5 rem 0,6 rem 4,4 rem 6
43 / 6 = ,7 rem 1 ,7 rem 3,5 rem 0,8 rem 1,23 rem 2
63 / 9 = ,7 rem 0 ,7 rem 1 ,6 rem 8,9 rem 7,7 rem 9
42 / 5 = ,8 rem 2,8 rem 4,7 rem 8,8 rem 3,7 rem 9
145 / 12 = ,12 rem 1,11 rem 11 ,12 rem 3,14 rem 12,12 rem 5
27 / 4 = ,6 rem 3,6 rem 1 ,5 rem 5 ,7 rem 5,2 rem 9
3 / 5 = ,0 rem 3,0 rem 5,5 rem 0 ,3 rem 5 ,0 rem 0
13 / 2 = ,6 rem 1 ,6 rem 3,13 rem 1 ,1 rem 2,7 rem 3
122 / 11 = ,11 rem 1,11 rem 11 ,13 rem 1 ,12 rem 5,9 rem 5
64 / 8 = ,8 rem 0,8 rem 2,8 rem 4,4 rem 8,14 rem 2
