1 litre - 500ml = ,500ml,5ml,5 litres,50ml,50 litres
500ml - 250ml =,1/4 litres,1/2 litres,500 litres,50ml,50 litres
200ml + 300ml = ,1/2 litre,1/4 litre,2 litres,50ml,5 litres
1420ml - 1/2 litre = ,920ml,820ml,1920ml,1.92 litres,420ml
7750ml - 750ml =,7 litres,700ml,700 litres,70 litres,7ml
250ml + 850ml  =,1.1 litres,1 litre,1 litre 150ml,1 litre 50ml,1.2ml
1.5 litre - 750ml = ,0.75 litres,75 litres,75ml,750l,700ml
2.9 litres + 1.4 litres,4.3 litres,1.5 litres,4.2 litres,4.5 litres,5.3 litres
1.5 litres + 2.2 litres = ,3700ml,3.7ml,370ml,370 litres,37 litres
100ml + 950ml,1050ml,1.5 litres,1.05ml,15ml,1.15 litres
